index,relative_path,filename,type,size_bytes,size_mb,scraped_at
1,data\scraped\deep_scrape_log.json,deep_scrape_log.json,json,2582,0.0026,2026-07-10T11:08:09.608135+00:00
2,data\scraped\arxiv\bevformer\metadata.xml,metadata.xml,xml,3068,0.0031,2026-07-10T11:08:09.608135+00:00
3,data\scraped\arxiv\bevformer\abstract_page.html,abstract_page.html,html,43468,0.0435,2026-07-10T11:08:09.608135+00:00
4,data\scraped\arxiv\bevformer\scrape_result.json,scrape_result.json,json,995,0.001,2026-07-10T11:08:09.608135+00:00
5,data\scraped\arxiv\bevformer\paper.pdf,paper.pdf,pdf,4739748,4.7397,2026-07-10T11:08:09.608135+00:00
6,data\scraped\arxiv\sparsead\metadata.xml,metadata.xml,xml,3482,0.0035,2026-07-10T11:08:09.608135+00:00
7,data\scraped\arxiv\sparsead\abstract_page.html,abstract_page.html,html,43895,0.0439,2026-07-10T11:08:09.608135+00:00
8,data\scraped\arxiv\sparsead\full_text.html,full_text.html,html,1096186,1.0962,2026-07-10T11:08:09.608135+00:00
9,data\scraped\arxiv\sparsead\cleaned_text.txt,cleaned_text.txt,txt,154699,0.1547,2026-07-10T11:08:09.608135+00:00
10,data\scraped\arxiv\sparsead\scrape_result.json,scrape_result.json,json,847,0.0008,2026-07-10T11:08:09.608135+00:00
11,data\scraped\arxiv\sparsead\paper.pdf,paper.pdf,pdf,25582634,25.5826,2026-07-10T11:08:09.608135+00:00
12,data\scraped\arxiv\event_camera\metadata.xml,metadata.xml,xml,3048,0.003,2026-07-10T11:08:09.608135+00:00
13,data\scraped\arxiv\event_camera\abstract_page.html,abstract_page.html,html,42942,0.0429,2026-07-10T11:08:09.608135+00:00
14,data\scraped\arxiv\event_camera\scrape_result.json,scrape_result.json,json,787,0.0008,2026-07-10T11:08:09.608135+00:00
15,data\scraped\arxiv\event_camera\paper.pdf,paper.pdf,pdf,824525,0.8245,2026-07-10T11:08:09.608135+00:00
16,data\scraped\arxiv\loihi_fusion\metadata.xml,metadata.xml,xml,2631,0.0026,2026-07-10T11:08:09.608135+00:00
17,data\scraped\arxiv\loihi_fusion\abstract_page.html,abstract_page.html,html,41486,0.0415,2026-07-10T11:08:09.608135+00:00
18,data\scraped\arxiv\loihi_fusion\full_text.html,full_text.html,html,97803,0.0978,2026-07-10T11:08:09.608135+00:00
19,data\scraped\arxiv\loihi_fusion\cleaned_text.txt,cleaned_text.txt,txt,36136,0.0361,2026-07-10T11:08:09.608135+00:00
20,data\scraped\arxiv\loihi_fusion\scrape_result.json,scrape_result.json,json,845,0.0008,2026-07-10T11:08:09.608135+00:00
21,data\scraped\arxiv\loihi_fusion\paper.pdf,paper.pdf,pdf,930751,0.9308,2026-07-10T11:08:09.608135+00:00
22,data\scraped\arxiv\weather_robustness\metadata.xml,metadata.xml,xml,3119,0.0031,2026-07-10T11:08:09.608135+00:00
23,data\scraped\arxiv\weather_robustness\abstract_page.html,abstract_page.html,html,43002,0.043,2026-07-10T11:08:09.608135+00:00
24,data\scraped\arxiv\weather_robustness\scrape_result.json,scrape_result.json,json,787,0.0008,2026-07-10T11:08:09.608135+00:00
25,data\scraped\arxiv\weather_robustness\paper.pdf,paper.pdf,pdf,2772810,2.7728,2026-07-10T11:08:09.608135+00:00
26,data\scraped\semantickitti_leaderboard\tasks.html,tasks.html,html,65892,0.0659,2026-07-10T11:08:09.608135+00:00
27,data\scraped\rellis3d_stats\repo_stats.json,repo_stats.json,json,516,0.0005,2026-07-10T11:08:09.608135+00:00
28,data\scraped\tartandrive2_params\website.html,website.html,html,24055,0.0241,2026-07-10T11:08:09.608135+00:00
29,data\scraped\arxiv_bevformer\api_metadata.xml,api_metadata.xml,xml,3068,0.0031,2026-07-10T11:08:09.608135+00:00
30,data\scraped\arxiv_bevformer\parsed_meta.json,parsed_meta.json,json,496,0.0005,2026-07-10T11:08:09.608135+00:00
31,data\scraped\arxiv_sparsead\api_metadata.xml,api_metadata.xml,xml,3482,0.0035,2026-07-10T11:08:09.608135+00:00
32,data\scraped\arxiv_sparsead\parsed_meta.json,parsed_meta.json,json,496,0.0005,2026-07-10T11:08:09.608135+00:00
