file_id,source,relative_path,file_type,file_size,last_modified
21c3a6ba,rellis3d,rellis3d\repo_metadata.json,.json,7222,2026-07-10T14:20:42
80bfe0f8,rellis3d,rellis3d\README.md,.md,18720,2026-07-10T14:29:08
fb3552ba,rellis3d,rellis3d\config.py,.py,2946,2026-07-10T13:52:38
97e26d29,rellis3d,rellis3d\__init__.py,.py,5858,2026-07-10T13:52:42
a8e07df6,rellis3d,rellis3d\cityscapes.py,.py,9757,2026-07-10T13:52:44
e7344647,rellis3d,rellis3d\cityscapes_labels.py,.py,12955,2026-07-10T13:52:44
136d2cf8,rellis3d,rellis3d\edge_utils.py,.py,2082,2026-07-10T13:52:46
140282b6,rellis3d,rellis3d\rellis.py,.py,7828,2026-07-10T13:52:46
90902620,rellis3d,rellis3d\loss.py,.py,6380,2026-07-10T14:11:08
fef0eaac,rellis3d,rellis3d\DualTaskLoss.py,.py,4789,2026-07-10T14:11:16
49254933,rellis3d,rellis3d\GatedSpatialConv.py,.py,6289,2026-07-10T14:11:18
add6d664,rellis3d,rellis3d\custom_functional.py,.py,5446,2026-07-10T14:11:20
f7b0b3f1,rellis3d,rellis3d\Resnet.py,.py,8714,2026-07-10T14:11:22
cf049c08,rellis3d,rellis3d\SEresnext.py,.py,14906,2026-07-10T14:11:38
a251b493,rellis3d,rellis3d\gscnn.py,.py,11956,2026-07-10T14:11:40
e8b06d90,rellis3d,rellis3d\mynn.py,.py,1089,2026-07-10T14:11:40
bcab9f12,rellis3d,rellis3d\wider_resnet.py,.py,14165,2026-07-10T14:11:42
a5d268b6,rellis3d,rellis3d\optimizer.py,.py,2720,2026-07-10T14:11:42
f07c2487,rellis3d,rellis3d\train.py,.py,19465,2026-07-10T14:11:44
b30bc4cb,rellis3d,rellis3d\joint_transforms.py,.py,22787,2026-07-10T14:13:58
bdea3d5d,rellis3d,rellis3d\transforms.py,.py,12085,2026-07-10T14:14:20
632482d8,rellis3d,rellis3d\AttrDict.py,.py,2635,2026-07-10T14:14:46
12e7e5fa,rellis3d,rellis3d\f_boundary.py,.py,7242,2026-07-10T14:15:08
4ccd94c2,rellis3d,rellis3d\image_page.py,.py,2563,2026-07-10T14:15:30
b87041f2,rellis3d,rellis3d\misc.py,.py,13199,2026-07-10T14:15:54
e2c235aa,rellis3d,rellis3d\hubconf.py,.py,861,2026-07-10T14:17:46
65f45863,rellis3d,rellis3d\default.py,.py,3064,2026-07-10T14:18:16
4e1fc10e,rellis3d,rellis3d\hrnet_config.py,.py,3668,2026-07-10T14:18:22
92829737,rellis3d,rellis3d\models.py,.py,1672,2026-07-10T14:19:30
14f17f4c,rellis3d,rellis3d\criterion.py,.py,3527,2026-07-10T14:20:16
7892aef0,rellis3d,rellis3d\function.py,.py,11379,2026-07-10T14:20:40
c0922550,rellis3d,rellis3d\ade20k.py,.py,3601,2026-07-10T14:21:30
3560db93,rellis3d,rellis3d\base_dataset.py,.py,10806,2026-07-10T14:21:32
6b045de2,rellis3d,rellis3d\cocostuff.py,.py,4912,2026-07-10T14:21:34
